order_product_id,order_id,product_id,quantity,total,currency,last_modified,_change_request_type
9911,99,11,3,2999.97,USD,2025-05-17 03:39:05,u
996,99,6,3,2699.97,USD,2025-09-24 21:14:23,u
992,99,2,1,799.99,USD,2025-02-24 14:29:25,u
991,99,1,1,699.99,USD,2025-08-07 04:54:17,u
984,98,4,1,999.99,USD,2025-07-11 07:39:38,u
9814,98,14,3,5399.97,USD,2025-01-26 00:21:53,u
983,98,3,2,1599.98,USD,2025-09-26 11:15:11,u
987,98,7,3,2099.97,USD,2025-11-07 16:31:02,u
988,98,8,1,999.99,USD,2025-06-29 09:53:14,u
9711,97,11,2,1999.98,USD,2025-03-14 14:08:35,u
9710,97,10,2,1599.98,USD,2025-02-17 05:15:21,u
9610,96,10,3,2399.97,USD,2025-05-27 03:59:37,u
9612,96,12,1,1299.99,USD,2024-11-14 11:33:15,u
959,95,9,2,3599.98,USD,2025-06-11 16:02:33,u
952,95,2,2,1599.98,USD,2025-01-11 03:16:10,u
9513,95,13,1,999.99,USD,2025-08-13 21:07:27,u
947,94,7,3,2099.97,USD,2025-09-25 09:27:29,u
943,94,3,3,2399.97,USD,2025-03-01 12:22:12,u
941,94,1,2,1399.98,USD,2025-08-15 02:06:03,u
9311,93,11,2,1999.98,USD,2025-10-05 12:53:42,u
9313,93,13,2,1999.98,USD,2025-05-20 15:04:23,u
938,93,8,1,999.99,USD,2025-03-16 15:15:20,u
9210,92,10,2,1599.98,USD,2025-05-10 16:45:39,u
921,92,1,1,699.99,USD,2025-10-30 02:23:05,u
913,91,3,2,1599.98,USD,2025-07-24 18:10:29,u
919,91,9,2,3599.98,USD,2025-10-26 23:15:46,u
916,91,6,3,2699.97,USD,2025-04-22 17:04:19,u
908,90,8,2,1999.98,USD,2025-07-09 03:11:10,u
902,90,2,1,799.99,USD,2025-10-04 19:41:36,u
904,90,4,2,1999.98,USD,2025-03-03 13:09:15,u
909,90,9,3,5399.97,USD,2025-08-19 07:35:21,u
911,9,11,1,999.99,USD,2025-06-24 17:07:08,u
910,9,10,2,1599.98,USD,2025-03-23 03:35:10,u
891,89,1,2,1399.98,USD,2025-08-22 12:03:38,u
8910,89,10,3,2399.97,USD,2025-05-27 09:08:43,u
8914,89,14,2,3599.98,USD,2025-03-28 04:29:16,u
882,88,2,2,1599.98,USD,2025-02-26 14:26:45,u
8813,88,13,3,2999.97,USD,2025-02-02 23:35:13,u
883,88,3,1,799.99,USD,2025-01-15 05:45:06,u
873,87,3,3,2399.97,USD,2025-10-13 07:02:18,u
8711,87,11,3,2999.97,USD,2024-12-11 05:01:26,u
8612,86,12,2,2599.98,USD,2025-02-06 10:23:46,u
865,86,5,2,1199.98,USD,2025-11-12 01:50:28,u
